"","logFC","logCPM","F","PValue","FDR","gene.ID","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA03004246",-4.57449960774563,3.26552933817105,43.2831478455451,3.24290365814137e-06,1.69479681051188e-05,"BraA03004246","BraA03004246","AT3G21460","AT3G21460","Glutaredoxin family protein","-","-"
"BraA07000486",3.24771255209818,5.82012253125642,43.2547426438615,3.25689734785972e-06,1.70098030753138e-05,"BraA07000486","BraA07000486","AT2G15960","AT2G15960","stress-induced protein","-","-"
"BraA09003898",3.29807080547112,4.11514801323555,43.2139184774919,3.27712672636884e-06,1.7098430426439e-05,"BraA09003898","BraA09003898","AT1G28260","AT1G28260","Telomerase activating protein Est1","-","-"
"BraA09005792",-3.98049699586104,3.68042576833877,43.185864360859,3.29110908080741e-06,1.71656919110326e-05,"BraA09005792","BraA09005792","AT2G22610","AT2G22610","Di-glucose binding protein with Kinesin motor domain-containing protein","-","-"
"BraA04001893",7.84118078671924,3.53839186618598,43.1359756004304,3.31613785796774e-06,1.72676192365918e-05,"BraA04001893","BraA04001893","AT2G25625","AT2G25625","histone deacetylase-like protein","-","-"
"BraA08004013",7.71837254645446,3.78038114684167,43.0823498008056,3.34327735650408e-06,1.73859261341534e-05,"BraA08004013","BraA08004013","AT1G02610","AT1G02610","RING/FYVE/PHD zinc finger superfamily protein","-","-"
"BraA10001975",-7.01156393513913,2.75014653535284,43.0579479543816,3.35570844418631e-06,1.74448061042999e-05,"BraA10001975","BraA10001975","AT5G17870","PSRP6","plastid-specific 50S ribosomal protein 6","-","-"
"BraA03004928",-3.83166801413582,4.53504509692701,43.0489972236702,3.36028109010983e-06,1.7451275893293e-05,"BraA03004928","BraA03004928","AT4G15480","UGT84A1","UDP-Glycosyltransferase superfamily protein","-","-"
"BraA06004854",-3.05386360675596,3.85203266373758,43.0472970988827,3.36115041165541e-06,1.7451275893293e-05,"BraA06004854","BraA06004854","AT5G44030","CESA4","cellulose synthase A4","-","YES"
"BraA09002431",-3.63314296990667,4.4735624949591,42.9647191629953,3.4036769031607e-06,1.76475320422197e-05,"BraA09002431","BraA09002431","AT1G79850","RPS17","ribosomal protein S17","-","YES"
"BraA09004513",3.64539394316666,4.70096555541137,42.8709855018733,3.4526737224211e-06,1.78620076542861e-05,"BraA09004513","BraA09004513","AT3G51000","AT3G51000","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA10001699",-3.4225110063169,3.16513316839977,42.7398858109019,3.52252116521543e-06,1.81781678631658e-05,"BraA10001699","BraA10001699","AT5G21105","AT5G21105","Plant L-ascorbate oxidase","-","-"
"BraA10003178",5.35665359925518,1.7722892149244,42.6766805923417,3.55675499019155e-06,1.83384982063087e-05,"BraA10003178","BraA10003178","AT5G01490","CAX4","cation exchanger 4","-","-"
"BraA09003235",3.01393550461029,4.93192972141769,42.673943866175,3.55824560190647e-06,1.83401745141173e-05,"BraA09003235","BraA09003235","AT1G34630","AT1G34630","transmembrane protein","-","-"
"BraA06001719",3.38665914417404,4.39559441295776,42.6581343102196,3.56687017331201e-06,1.83786080704773e-05,"BraA06001719","BraA06001719","AT1G15330","AT1G15330","Cystathionine beta-synthase (CBS) protein","-","-"
"BraA02001836",-3.80169048645727,3.71359284902866,42.4171800388609,3.70123134767809e-06,1.89900803674804e-05,"BraA02001836","BraA02001836","AT1G65560","AT1G65560","Zinc-binding dehydrogenase family protein","-","-"
"BraA03004879",5.49514961697231,2.22695006532856,42.3687349589688,3.72891831008942e-06,1.91128718039209e-05,"BraA03004879","BraA03004879","AT3G51910","HSFA7A","heat shock transcription factor A7A","YES","-"
"BraA10002324",-5.58381934450573,3.00382500356139,42.3669455663114,3.72994536382289e-06,1.91128718039209e-05,"BraA10002324","BraA10002324","AT5G13140","AT5G13140","Pollen Ole e 1 allergen and extensin family protein","-","-"
"BraA07002563",3.16359233727528,1.60238731149879,42.3419532302011,3.74432303048878e-06,1.91425169615892e-05,"BraA07002563","BraA07002563","AT5G55230","MAP65-1","microtubule-associated proteins 65-1","-","-"
"BraA06004702",-5.04914605973295,4.13596996462922,42.2387689598648,3.80433802297717e-06,1.93891532720135e-05,"BraA06004702","BraA06004702","AT5G46280","MCM3","Minichromosome maintenance (MCM2/3/5) family protein","-","YES"
"BraA06001445",-3.81727954489977,7.07222060984099,42.2238564215609,3.81309957373774e-06,1.94247118460139e-05,"BraA06001445","BraA06001445","AT1G60950","FED A","2Fe-2S ferredoxin-like superfamily protein","-","-"
"BraA09005049",-3.05144244807181,8.83788271472971,42.2112565840313,3.82051980572514e-06,1.94562134831362e-05,"BraA09005049","BraA09005049","AT3G56930","AT3G56930","DHHC-type zinc finger family protein","-","-"
"BraA01001156",3.08193472705593,6.47840473942894,42.2014786070159,3.82628924897095e-06,1.94730851449314e-05,"BraA01001156","BraA01001156","AT4G19420","AT4G19420","Pectinacetylesterase family protein","-","-"
"BraA05004568",-4.66827622573491,2.74719220046513,42.0454842871424,3.91965316903457e-06,1.98774290260806e-05,"BraA05004568","BraA05004568","AT3G03480","CHAT","acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase","-","-"
"BraA01000786",-3.47925699627933,7.60592903957401,41.9669204494758,3.9676297370636e-06,2.00883595696373e-05,"BraA01000786","BraA01000786","AT4G30530","GGP1","Class I glutamine amidotransferase-like superfamily protein","-","-"
"BraA10000323",-4.78532248177012,4.93634044233815,41.963662401588,3.96963335836324e-06,2.00920394104869e-05,"BraA10000323","BraA10000323","AT1G04680","AT1G04680","Pectin lyase-like superfamily protein","-","-"
"BraA05004079",3.98764018837643,4.67745745978885,41.958955910394,3.97252972110122e-06,2.01002339843244e-05,"BraA05004079","BraA05004079","AT3G10020","AT3G10020","plant/protein","-","-"
"BraA02000559",-8.20093092287017,4.53349416578955,41.9419730980977,3.98300042265644e-06,2.01273264774957e-05,"BraA02000559","BraA02000559","AT5G13930","TT4","Chalcone and stilbene synthase family protein","-","YES"
"BraA07003960",-3.35225886275994,6.57826206842642,41.9369388994473,3.98611012682628e-06,2.01365743036078e-05,"BraA07003960","BraA07003960","AT1G77580","AT1G77580","filament-like protein (DUF869)","-","-"
"BraA10001129",-4.07223777770462,6.11618607377724,41.8991834528112,4.00951835436481e-06,2.02288492543394e-05,"BraA10001129","BraA10001129","AT5G55740","CRR21","Tetratricopeptide repeat (TPR)-like superfamily protein","-","YES"
"BraA02004236",-6.68357665874313,8.44647974341567,41.8901692003296,4.01512969512533e-06,2.02484452674887e-05,"BraA02004236","BraA02004236","AT5G23010","MAM1","methylthioalkylmalate synthase 1","-","YES"
"BraA01004719",-4.02679759730353,3.12833727095984,41.8888109474794,4.01597595830148e-06,2.02484452674887e-05,"BraA01004719","BraA01004719","AT3G02660","EMB2768","Tyrosyl-tRNA synthetase, class Ib, bacterial/mitochondrial","-","-"
"BraA07003764",-4.75622173236546,4.5989486375356,41.8856068329699,4.01797307526012e-06,2.02520257246295e-05,"BraA07003764","BraA07003764","AT1G75250","RL6","RAD-like 6","YES","-"
"BraA09002126",-6.08489427832351,3.93230493608358,41.7163095303868,4.12508047571627e-06,2.06661147296629e-05,"BraA09002126","BraA09002126","AT5G44020","AT5G44020","HAD superfamily, subfamily IIIB acid phosphatase","-","-"
"BraA02001173",-5.06723959655301,3.18551234018509,41.6892328298776,4.14250299195963e-06,2.07401931535084e-05,"BraA02001173","BraA02001173","AT5G59970","AT5G59970","Histone superfamily protein","-","-"
"BraA09006616",3.94220110662181,3.6844759409119,41.5639983627418,4.22415497633e-06,2.10685587028618e-05,"BraA09006616","BraA09006616","AT1G08920","ESL1","ERD (early response to dehydration) six-like 1","-","-"
"BraA01002172",-3.5678675417269,3.15288463586033,41.4121548795196,4.32556156369543e-06,2.14519498160452e-05,"BraA01002172","BraA01002172","AT4G16660","AT4G16660","heat shock protein 70 (Hsp 70) family protein","-","-"
"BraA01001647",-3.14465979069209,3.5789039201826,41.1589384114458,4.50073513635159e-06,2.21555028517371e-05,"BraA01001647","BraA01001647","AT4G24780","AT4G24780","Pectin lyase-like superfamily protein","-","-"
"BraA06001524",-3.81341407282923,8.24150011596264,41.0601839343522,4.57117575123108e-06,2.24157125650895e-05,"BraA06001524","BraA06001524","AT1G12090","ELP","extensin-like protein","-","-"
"BraA06002605",8.2964526666663,5.73350228163135,40.9485519948666,4.65227918691188e-06,2.27383352783587e-05,"BraA06002605","BraA06002605","AT3G47340","ASN1","glutamine-dependent asparagine synthase 1","-","YES"
"BraA05004621",-3.21029732130217,4.82646658308652,40.9251273310473,4.66949981944255e-06,2.28054777029013e-05,"BraA05004621","BraA05004621","AT3G02830","ZFN1","zinc finger protein 1","YES","-"
"BraA02000089",-3.65201597777273,4.42875084084866,40.8795673309834,4.70319626965664e-06,2.29486810850595e-05,"BraA02000089","BraA02000089","AT5G03120","AT5G03120","transmembrane protein","-","-"
"BraA03004936",9.78233871003459,5.57621064037742,40.8602961294458,4.71753053446512e-06,2.29854607395156e-05,"BraA03004936","BraA03004936","AT4G15610","AT4G15610","Uncharacterized protein family (UPF0497)","-","-"
"BraA05003485",-6.01182478707696,7.5916451065048,40.8003143019375,4.76245741546671e-06,2.31660061483104e-05,"BraA05003485","BraA05003485","AT3G16370","AT3G16370","GDSL-like Lipase/Acylhydrolase superfamily protein","-","-"
"BraA03006411",3.6672124777642,6.95216676069645,40.7441914040026,4.80492440263219e-06,2.33005517410848e-05,"BraA03006411","BraA03006411","AT4G36040","J11","Chaperone DnaJ-domain superfamily protein","-","-"
"BraA06002126",5.39307213816177,6.93599711703714,40.7415135372078,4.80696116878284e-06,2.33032473665948e-05,"BraA06002126","BraA06002126","AT1G19540","AT1G19540","NmrA-like negative transcriptional regulator family protein","-","-"
"BraA03000298",-3.4556964361198,4.2350852857083,40.7289331591207,4.81654255064715e-06,2.332813591166e-05,"BraA03000298","BraA03000298","AT2G17360","AT2G17360","Ribosomal protein S4 (RPS4A) family protein","-","-"
"BraA03001652",-4.46845189682368,4.34731015698646,40.6922585196976,4.84459564986343e-06,2.34495715614429e-05,"BraA03001652","BraA03001652","AT5G51010","AT5G51010","Rubredoxin-like superfamily protein","-","-"
"BraA03000788",4.96560820878547,5.39995475315808,40.6671238486831,4.86392636181158e-06,2.35214336906783e-05,"BraA03000788","BraA03000788","AT5G16370","AAE5","acyl activating enzyme 5","-","-"
"BraA10002898",4.10661087249697,6.80795521998827,40.5737893423732,4.9364615900463e-06,2.38063621149153e-05,"BraA10002898","BraA10002898","AT5G64260","EXL2","EXORDIUM like 2","-","YES"
"BraA03005404",3.33903366592815,3.69276875616251,40.5131520309874,4.98422929819389e-06,2.39559658632801e-05,"BraA03005404","BraA03005404","AT4G22920","NYE1","non-yellowing 1","-","YES"
"BraA08000233",-3.48000068709567,4.67259135796187,40.480224212834,5.01038337656859e-06,2.40522857881889e-05,"BraA08000233","BraA08000233","AT1G52030","MBP2","myrosinase-binding protein 2","-","-"
"BraA05004716",-5.05355643933987,10.8841763891982,40.4606533580369,5.02600038504173e-06,2.41125433106758e-05,"BraA05004716","BraA05004716","AT3G01500","CA1","carbonic anhydrase 1","-","-"
"BraA02004315",-3.75665075603188,6.04322238191254,40.3326384293737,5.12949549642762e-06,2.45193624337136e-05,"BraA02004315","BraA02004315","AT5G62140","AT5G62140","ATP-dependent Clp protease ATP-binding subunit","-","-"
"BraA08002898",3.71889060000075,2.25917581137877,40.3203679736365,5.13953929076917e-06,2.45599120192966e-05,"BraA08002898","BraA08002898","AT5G13090","AT5G13090","hypothetical protein","-","-"
"BraA03003091",13.0909134525817,5.58705350247538,44.028946274277,5.21964002288621e-06,2.48671678474531e-05,"BraA03003091","BraA03003091","AT2G46450","CNGC12","cyclic nucleotide-gated channel 12","-","-"
"BraA02000315",8.44986388252897,3.95878625464136,40.2029819217935,5.2367351607554e-06,2.49259723199174e-05,"BraA02000315","BraA02000315","AT5G09440","EXL4","EXORDIUM like 4","-","YES"
"BraSca000959",-3.51658730787488,7.33237232219047,40.198404467085,5.24056642268971e-06,2.49366656266844e-05,"BraSca000959","BraSca000959","AT3G45010","scpl48","serine carboxypeptidase-like 48","-","-"
"BraA08002732",-3.28102444270034,6.54505992718957,40.1527606784732,5.27894028693143e-06,2.51040810985654e-05,"BraA08002732","BraA08002732","AT2G18110","AT2G18110","Translation elongation factor EF1B/ribosomal protein S6 family protein","-","-"
"BraA03004647",-6.04461763291744,5.91085738151667,40.1305092990708,5.29776059863232e-06,2.51707611050961e-05,"BraA03004647","BraA03004647","AT5G23010","MAM1","methylthioalkylmalate synthase 1","-","YES"
"BraA06002276",3.76100273774264,4.50572676671069,40.0655369537904,5.35314214763672e-06,2.5387897780353e-05,"BraA06002276","BraA06002276","AT1G21000","AT1G21000","PLATZ transcription factor family protein","-","-"
"BraA02004226",4.34363408366632,2.65471450534969,40.0552993123897,5.36192704959159e-06,2.54218993830591e-05,"BraA02004226","BraA02004226","AT5G23230","NIC2","nicotinamidase 2","-","-"
"BraA07002915",-4.1446790931422,6.6946622365089,40.0205906074534,5.39182985379139e-06,2.55559742708619e-05,"BraA07002915","BraA07002915","AT1G68590","PSRP3/1","Ribosomal protein PSRP-3/Ycf65","-","-"
"BraA06002313",3.14092679738871,7.13369137783698,39.9358294894595,5.46563577269254e-06,2.58668404568691e-05,"BraA06002313","BraA06002313","AT1G21400","AT1G21400","Thiamin diphosphate-binding fold (THDP-binding) superfamily protein","-","-"
"BraA02003644",-3.16253332714045,7.96817747540093,39.9331998968236,5.46794336459442e-06,2.58699809937636e-05,"BraA02003644","BraA02003644","AT3G26520","TIP2","tonoplast intrinsic protein 2","-","-"
"BraA10002947",-4.13204225725641,2.53913046187745,39.8779575768553,5.51667202507482e-06,2.60691744704436e-05,"BraA10002947","BraA10002947","AT5G04830","AT5G04830","Nuclear transport factor 2 (NTF2) family protein","-","-"
"BraA05001417",-4.33933540857229,6.73118899597332,39.8369018636802,5.55319913883603e-06,2.62260329077803e-05,"BraA05001417","BraA05001417","AT2G31790","AT2G31790","UDP-Glycosyltransferase superfamily protein","-","-"
"BraA05003073",-5.52121910582777,6.25620934029638,39.8096797276987,5.57756658398628e-06,2.6325311267429e-05,"BraA05003073","BraA05003073","AT3G19710","BCAT4","branched-chain aminotransferase4","-","-"
"BraA01000181",4.73613468840493,2.97804031332741,39.8012196237834,5.5851636666573e-06,2.63479394664439e-05,"BraA01000181","BraA01000181","AT4G36900","RAP2.10","related to AP2 10","YES","-"
"BraA01004611",-3.27060292141394,9.19202970937158,39.7876072909735,5.59741152033983e-06,2.63715172706789e-05,"BraA01004611","BraA01004611","AT3G04550","AT3G04550","rubisco accumulation factor-like protein","-","-"
"BraA04001952",-3.05372432433948,4.80078983373825,39.7676926609035,5.61538369629258e-06,2.64324492506312e-05,"BraA04001952","BraA04001952","AT2G26730","AT2G26730","Leucine-rich repeat protein kinase family protein","-","-"
"BraA09000250",-4.54047374331985,2.43805970165659,39.6827402663546,5.69277278843678e-06,2.67168125853985e-05,"BraA09000250","BraA09000250","AT4G03100","AT4G03100","Rho GTPase activating protein with PAK-box/P21-Rho-binding domain-containing protein","-","-"
"BraA09000352",-3.56491050037584,3.35125760654813,39.6627977267237,5.71111097988175e-06,2.67789160844515e-05,"BraA09000352","BraA09000352","AT3G28040","AT3G28040","Leucine-rich receptor-like protein kinase family protein","-","-"
"BraA07000956",-4.7831582689985,8.21662148025164,39.6608477743016,5.71290757837864e-06,2.67793606354978e-05,"BraA07000956","BraA07000956","AT1G31330","PSAF","photosystem I subunit F","-","YES"
"BraA05003891",-3.48021526605981,4.22211736384338,39.6520302410511,5.7210394945962e-06,2.67935349663589e-05,"BraA05003891","BraA05003891","AT3G12145","FLR1","Leucine-rich repeat (LRR) family protein","-","-"
"BraA08002614",3.0912965376708,2.59434750574737,39.6203429619301,5.75036914175194e-06,2.69148747217753e-05,"BraA08002614","BraA08002614","AT1G12200","FMO","Flavin-binding monooxygenase family protein","-","-"
"BraA09006743",-3.12445012861928,4.86083990033853,39.5946630594683,5.77426086154785e-06,2.69945837544019e-05,"BraA09006743","BraA09006743","AT1G06830","AT1G06830","Glutaredoxin family protein","-","-"
"BraA08002502",-3.03244768449973,10.2172237771954,39.4509413401782,5.91002591545404e-06,2.75392856990183e-05,"BraA08002502","BraA08002502","AT4G38970","FBA2","fructose-bisphosphate aldolase 2","-","YES"
"BraA07000744",-3.88165065516536,5.2298386725429,39.4321767534583,5.92801173853814e-06,2.75985777271113e-05,"BraA07000744","BraA07000744","AT4G22100","BGLU3","beta glucosidase 2","-","-"
"BraA04001192",7.5631650364331,2.9255847500364,39.4151407348186,5.94439337307519e-06,2.76631103997767e-05,"BraA04001192","BraA04001192","AT5G38710","AT5G38710","Methylenetetrahydrofolate reductase family protein","-","-"
"BraA08003205",-4.76744547827815,9.53086980226577,39.4122824071154,5.94714682781168e-06,2.76631103997767e-05,"BraA08003205","BraA08003205","AT1G20020","FNR2","ferredoxin-NADP[ ]-oxidoreductase 2","-","-"
"BraA08003977",-4.12249040363029,3.91255479781524,39.4010908846852,5.95794136361983e-06,2.76805920572547e-05,"BraA08003977","BraA08003977","AT1G03600","PSB27","photosystem II family protein","-","-"
"BraA09001586",-3.00190367639284,5.97551786612617,39.3927252473201,5.96602446156502e-06,2.77070222077904e-05,"BraA09001586","BraA09001586","AT1G64680","AT1G64680","beta-carotene isomerase D27","-","-"
"BraA07004147",-5.46921094830493,2.54159703397612,39.3897394293885,5.96891238462185e-06,2.77070222077904e-05,"BraA07004147","BraA07004147","AT1G80710","DRS1","DROUGHT SENSITIVE 1","-","-"
"BraA03000217",-3.05428813123376,5.91923821350129,39.3681678034575,5.98982291962141e-06,2.77795029363874e-05,"BraA03000217","BraA03000217","AT5G05170","CEV1","Cellulose synthase family protein","-","-"
"BraA01001341",-3.46759738055898,3.24655628398903,39.0716845099114,6.28561561591329e-06,2.89465751630118e-05,"BraA01001341","BraA01001341","AT4G21870","AT4G21870","HSP20-like chaperones superfamily protein","-","-"
"BraA04000783",-3.65500225992488,4.46560801187561,38.9247280699805,6.43821336533654e-06,2.95369462148501e-05,"BraA04000783","BraA04000783","AT3G51870","AT3G51870","Mitochondrial substrate carrier family protein","-","-"
"BraA06004104",-3.88298587420548,7.78390440582403,38.8180657543728,6.55154614357676e-06,3.00218783096458e-05,"BraA06004104","BraA06004104","AT3G29320","PHS1","Glycosyl transferase, family 35","-","-"
"BraA07003741",-11.4253541728439,2.96171472708504,51.1314520204027,6.58621046699541e-06,3.01543811197672e-05,"BraA07003741","BraA07003741","AT1G75030","TLP-3","thaumatin-like protein 3","-","-"
"BraA09006042",-4.75569391929493,6.90290470874229,38.6341970684127,6.75215088683808e-06,3.07797932663048e-05,"BraA09006042","BraA09006042","AT1G18730","PnsB4","NDH dependent flow 6","-","-"
"BraA03005407",-4.10638420835549,2.62727878860408,38.6007683365281,6.7893500642772e-06,3.09404033047976e-05,"BraA03005407","BraA03005407",NA,NA,NA,NA,NA
"BraA09004628",-3.23617014812739,5.51021005917858,38.5957207996422,6.79498666198056e-06,3.09481650109771e-05,"BraA09004628","BraA09004628","AT3G52180","SEX4","dual specificity protein phosphatase (DsPTP1) family protein","-","YES"
"BraA07003231",-4.87556910094472,2.6926008386831,38.5875869621259,6.80408067480245e-06,3.09696010827014e-05,"BraA07003231","BraA07003231","AT1G68740","PHO1;H1","EXS (ERD1/XPR1/SYG1) family protein","-","-"
"BraA06001637",-3.11113594843358,4.43343308480511,38.5872427326497,6.80446583746673e-06,3.09696010827014e-05,"BraA06001637","BraA06001637","AT1G14460","AT1G14460","AAA-type ATPase family protein","-","-"
"BraA05001241",-3.35412483073774,2.46618948222553,38.5446640869651,6.85229482460767e-06,3.11640784277533e-05,"BraA05001241","BraA05001241","AT2G33570","GALS1","glycosyltransferase family protein (DUF23)","-","-"
"BraA03001668",-4.99666228659076,7.08154381627923,38.4387976373898,6.97284152520218e-06,3.16300473452238e-05,"BraA03001668","BraA03001668","AT5G50740","AT5G50740","Heavy metal transport/detoxification superfamily protein","-","-"
"BraA01001783",4.88612424505273,4.31364873562995,38.4332529887859,6.97921961169745e-06,3.16498558529311e-05,"BraA01001783","BraA01001783","AT4G26120","AT4G26120","Ankyrin repeat family protein / BTB/POZ domain-containing protein","-","-"
"BraA07001061",-4.09995998792628,2.74889280577754,38.3580796640312,7.06633481708576e-06,3.19436497218217e-05,"BraA07001061","BraA07001061","AT1G29470","AT1G29470","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA06000836",3.26432000282743,4.341149908617,38.2675550411078,7.17284612142591e-06,3.2360064956066e-05,"BraA06000836","BraA06000836","AT1G52560","AT1G52560","HSP20-like chaperones superfamily protein","-","-"
"BraA10002305",-3.10871766672335,5.71588862712665,38.2209536986264,7.22837135935402e-06,3.25727079543575e-05,"BraA10002305","BraA10002305","AT5G13320","PBS3","Auxin-responsive GH3 family protein","-","-"
"BraA03000261",-4.34898452810928,4.18003297026114,38.1442949880267,7.32075096328457e-06,3.29295844096749e-05,"BraA03000261","BraA03000261","AT5G06390","FLA17","FASCICLIN-like arabinogalactan protein 17 precursor","-","-"
"BraA08003947",-5.04751766089582,6.58370596380795,38.1419341867412,7.3236166397503e-06,3.29295844096749e-05,"BraA08003947","BraA08003947","AT1G04250","AXR3","AUX/IAA transcriptional regulator family protein","-","YES"
"BraA03002090",-4.02074815086667,3.5362440534091,38.1306260184273,7.33736042697013e-06,3.29699325182187e-05,"BraA03002090","BraA03002090","AT2G37970","SOUL-1","SOUL heme-binding family protein","-","-"
"BraA08000425",-4.60426616117852,5.91951673837319,38.0868162870595,7.39087717671532e-06,3.31725166151718e-05,"BraA08000425","BraA08000425","AT1G48480","RKL1","receptor-like kinase 1","-","-"
"BraA07003229",-4.15608327544131,4.90181731418404,38.0736534665171,7.40704107159741e-06,3.32355854869281e-05,"BraA07003229","BraA07003229","AT1G68725","AGP19","arabinogalactan protein 19","-","YES"
"BraA09005305",6.56743861241691,4.53943907100983,41.5101133050021,7.44070136163227e-06,3.33675909451825e-05,"BraA09005305","BraA09005305","AT3G60140","DIN2","Glycosyl hydrolase superfamily protein","-","-"
"BraA03002938",-6.25514694666875,4.24081409043631,37.9319978088158,7.58350004506841e-06,3.39016922469308e-05,"BraA03002938","BraA03002938","AT4G12030","BAT5","bile acid transporter 5","-","-"
"BraA09004866",-4.9886589730247,4.39145032329697,37.8805850609696,7.64869471761636e-06,3.41252792958353e-05,"BraA09004866","BraA09004866","AT3G54920","PMR6","Pectin lyase-like superfamily protein","-","-"
"BraA09000354",-3.49085911123088,4.33432824856305,37.8625392089465,7.67172536808368e-06,3.41989434538711e-05,"BraA09000354","BraA09000354","AT3G28180","CSLC04","Cellulose-synthase-like C4","-","-"
"BraA09006121",-4.02508640531707,2.60048646114914,37.8018432998385,7.74975409849781e-06,3.44979152741051e-05,"BraA09006121","BraA09006121","AT1G17180","GSTU25","glutathione S-transferase TAU 25","-","-"
"BraA06001476",-5.25995096276556,3.09313056164706,37.7986665907599,7.75386217278898e-06,3.45006433797022e-05,"BraA06001476","BraA06001476","AT1G80740","CMT1","chromomethylase 1","-","-"
"BraA08002463",3.256472531174,4.87862945052946,37.7830642724983,7.77407399656471e-06,3.45670608674604e-05,"BraA08002463","BraA08002463","AT4G39660","AGT2","alanine:glyoxylate aminotransferase 2","-","-"
"BraA02002763",-3.74879321431939,3.79720396231737,37.7563786071232,7.8087793279161e-06,3.46919682394375e-05,"BraA02002763","BraA02002763","AT1G79620","AT1G79620","Leucine-rich repeat protein kinase family protein","-","-"
"BraA07002218",-4.76797248640794,8.33091642828536,37.7029920934703,7.87872723573937e-06,3.49336860472231e-05,"BraA07002218","BraA07002218","AT3G59960","ASHH4","histone-lysine N-methyltransferase ASHH4","-","-"
"BraA03001319",-3.3590325607536,5.26399470659734,37.6323206179786,7.9723945003959e-06,3.52595839961298e-05,"BraA03001319","BraA03001319","AT5G57030","LUT2","Lycopene beta/epsilon cyclase protein","-","YES"
"BraA05001582",-4.00607772525538,5.5150603699217,37.5482643221698,8.08541528173308e-06,3.57108867348293e-05,"BraA05001582","BraA05001582","AT2G29740","UGT71C2","UDP-glucosyl transferase 71C2","-","-"
"BraA03004847",-3.62289273931255,3.55784473440665,37.5479925925967,8.0857835178061e-06,3.57108867348293e-05,"BraA03004847","BraA03004847","AT3G51240","F3H","flavanone 3-hydroxylase","-","YES"
"BraA01001550",4.54436994273177,5.48542970512641,37.5385745001745,8.09855802044537e-06,3.573030597541e-05,"BraA01001550","BraA01001550","AT4G23920","UGE2","UDP-D-glucose/UDP-D-galactose 4-epimerase 2","-","-"
"BraA04002167",-5.17128678629772,7.05207784751618,37.3814677348485,8.31499314347669e-06,3.65375322971271e-05,"BraA04002167","BraA04002167","AT2G29670","AT2G29670","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA10002499",3.09856529994699,4.01549316644165,37.3741296080172,8.32525821409335e-06,3.65530868462536e-05,"BraA10002499","BraA10002499","AT5G10650","AT5G10650","RING/U-box superfamily protein","-","-"
"BraA05000363",-3.7309802776711,8.43226581994396,37.3409857322282,8.37179774969931e-06,3.67164463180792e-05,"BraA05000363","BraA05000363","AT2G42190","AT2G42190","rho GTPase-activating gacO-like protein","-","-"
"BraA09003930",-3.11461721826816,4.36350747615091,37.3383687422456,8.37548472693376e-06,3.67223816280384e-05,"BraA09003930","BraA09003930","AT1G27950","LTPG1","glycosylphosphatidylinositol-anchored lipid protein transfer 1","-","-"
"BraA07003618",5.76835688918105,3.41098452057184,37.3236166273886,8.39630217371511e-06,3.67829095227119e-05,"BraA07003618","BraA07003618","AT1G73480","AT1G73480","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA07002113",3.99735323004064,2.26005693466218,37.3201030487108,8.40126882707551e-06,3.67944242312441e-05,"BraA07002113","BraA07002113","AT2G45170","ATG8E","AUTOPHAGY 8E","-","-"
"BraA10000980",-7.28449038604361,3.64444557657593,37.2927961176309,8.43998018459459e-06,3.69125981614176e-05,"BraA10000980","BraA10000980","AT5G54160","OMT1","O-methyltransferase 1","-","YES"
"BraA02001864",-4.33099290732125,3.19070021529031,37.2530743576262,8.49664534527086e-06,3.71088568285269e-05,"BraA02001864","BraA02001864","AT2G01918","PQL3","PsbQ-like 3","-","-"
"BraA06003067",-7.57352974160879,3.73711452124958,37.2221055646432,8.54111702859537e-06,3.72720514592282e-05,"BraA06003067","BraA06003067","AT5G62920","ARR6","response regulator 6","-","YES"
"BraA05001184",-3.30249982100704,7.27197874584619,37.1924063130544,8.58400851786375e-06,3.7417716907785e-05,"BraA05001184","BraA05001184","AT2G34430","LHB1B1","light-harvesting chlorophyll-protein complex II subunit B1","-","YES"
"BraA05001119",-3.23001720786821,4.57042157283782,37.1557318204662,8.63730395146304e-06,3.75979571176272e-05,"BraA05001119","BraA05001119","AT2G35130","AT2G35130","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA10000998",3.67920755813707,1.89442531852686,37.1419948327189,8.65736106059013e-06,3.7654017039648e-05,"BraA10000998","BraA10000998","AT1G04870","PRMT10","protein arginine methyltransferase 10","-","-"
"BraA09005494",4.67687684328244,4.7647960794658,37.0825216456735,8.74479534491714e-06,3.7979996472335e-05,"BraA09005494","BraA09005494","AT3G62590","AT3G62590","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA09001671",-3.72507885787518,6.31396158212525,36.9617951929619,8.92531222193349e-06,3.86060233986656e-05,"BraA09001671","BraA09001671","AT1G62540","FMO GS-OX2","flavin-monooxygenase glucosinolate S-oxygenase 2","-","-"
"BraA10002551",5.79497055141712,6.48980762501758,36.8639617097531,9.07463536533235e-06,3.91765328145048e-05,"BraA10002551","BraA10002551","AT5G65207","AT5G65207","hypothetical protein","-","-"
